vt_symbol,name,date,ym,res,D1开%,D1收%,板留%,地基,回撤%,蹲深%,弹回%,低点位置,振幅%,破顶,断板,上波高,昨幅%,昨上影%,昨涨停家,is_wv,is_lim,n1_lim
600303.SSE,曙光股份,2026-06-05,2026-06,封D1负,-5.19,-1.44,-1.44,DN·阴跌到点,-17.75,-17.75,0.0,1.0,18.41,False,10,2,-1.87,3.43,65.0,False,True,False
600318.SSE,新力金融,2024-10-18,2024-10,封D1正,0.0,1.44,1.44,U·U型蹲,-17.86,-25.32,10.0,0.3333333333333333,20.58,False,8,2,5.56,3.76,41.0,False,True,False
600318.SSE,新力金融,2024-10-31,2024-10,炸板,-4.39,1.12,1.12,U·U型蹲,-12.55,-25.32,17.1,0.13333333333333333,22.75,False,17,2,-2.77,1.93,118.0,False,False,False
600322.SSE,津投城开,2023-08-09,2023-08,封D1正,0.39,0.39,0.39,MID·中位浅调,-8.56,-11.28,3.07,0.125,16.23,True,10,2,-3.29,2.06,25.0,False,True,False
600326.SSE,西藏天路,2024-08-20,2024-08,炸板,-6.62,3.15,3.15,FLAT·横盘平台,-4.16,-4.16,0.0,1.0,4.34,False,3,3,-4.16,1.66,29.0,False,False,False
600330.SSE,天通股份,2025-12-19,2025-12,封D1正,2.63,1.69,1.69,LB·L趴底,-13.75,-14.95,1.42,0.6,21.17,True,7,2,-3.77,0.45,52.0,False,True,False
600330.SSE,天通股份,2025-12-26,2025-12,封D1负,0.07,-4.22,-4.22,HIGH·新高贴顶,0.48,-14.95,18.15,0.3,23.25,True,12,2,-4.14,0.38,72.0,False,True,False
600330.SSE,天通股份,2026-01-07,2026-01,炸板,-2.09,2.09,2.09,HIGH·新高贴顶,1.61,-14.95,19.47,0.1875,29.96,True,18,2,-2.54,0.0,96.0,False,False,False
600330.SSE,天通股份,2026-02-09,2026-02,封D1正,5.51,0.76,0.76,FLAT·横盘平台,-8.5,-8.5,0.0,1.0,3.23,False,3,2,-3.12,0.56,48.0,False,True,False
600330.SSE,天通股份,2026-03-10,2026-03,封D1正,4.36,6.1,6.1,MID·中位浅调,-7.62,-8.5,0.97,0.0625,17.94,True,18,2,-3.87,0.49,34.0,False,True,False
