vt_symbol,name,g4,n1_date,h,lim3,vr_d0,vr_d1,gap_d1,bias10,tseg,B,ret_bw,A_B
002364.SZSE,中恒电气,yin2,2025-01-06,3,True,0.9314678720433093,0.7833159223786947,0.024428684003152235,16.230078769005306,早,0.12687155240346737,0.08904649330181247,-0.0378250591016549
002365.SZSE,永安药业,yin2,2025-04-28,2,False,1.9317007896671259,1.2312823824643606,0.0,23.21647925918926,早,0.012269938650306678,-0.00996932515337412,-0.022239263803680798
002365.SZSE,永安药业,yang2,2025-05-14,2,False,0.7653219494985949,1.520393666839176,0.016921837228041747,2.4857543975555396,中,0.09427880741337624,0.12892828364222408,0.03464947622884784
002369.SZSE,卓翼科技,yang4,2025-03-05,2,False,0.9182364925837417,0.9776332242110013,0.02077363896848139,14.916035561409302,早,-0.01002865329512903,0.006446991404011504,0.016475644699140535
002370.SZSE,亚太药业,yang2,2025-07-28,2,False,0.833072402489604,0.8568306019630058,0.043618739903069415,20.521806853582557,早,0.1389337641357027,0.158319870759289,0.019386106623586308
002378.SZSE,章源钨业,yin2,2026-02-25,3,True,0.8821540527085605,1.0898826247818014,0.05961251862891204,22.889271455258054,中,0.14873323397913563,0.30968703427719824,0.1609538002980626
002388.SZSE,新亚制程,yang4,2024-09-30,2,False,1.3791028387056719,1.269227805599197,0.0997876857749469,15.724815724815722,午,0.10615711252653925,0.12314225053078554,0.01698513800424628
002388.SZSE,新亚制程,yin2,2024-10-30,2,False,1.7547190473720309,0.35233702902884484,0.09927797833935004,9.877032923443085,尾,0.2057761732851986,-0.010830324909747224,-0.21660649819494582
002400.SZSE,省广集团,yin2,2023-07-19,2,False,1.803566741769123,2.027874573091124,0.026490066225165476,16.669886034382863,,0.0943708609271523,0.0331125827814569,-0.0612582781456954
002400.SZSE,省广集团,yin2,2024-11-29,2,False,0.7741351171066992,1.5264849855465386,0.028037383177570208,9.239407861153648,早,0.0689252336448598,0.022196261682242868,-0.04672897196261694
