vt_symbol,name,g4,trade_date,n1_date,h,seal,a1,a2,st3,st3c,bias10,bias20,bias30,vr_d0,vr_tm1,touch,tseg
603679.SSE,华体科技,yang2,2026-01-08,2026-01-09,0,False,False,False,-+,混合,>5,>5,>5,1.6514681851199728,0.9572633344409107,10:45,中10:30~11:30
603682.SSE,锦和商管,yang2,2024-12-25,2024-12-26,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.3582985695999652,1.1873534637362546,15:00,尾14:00~15:00
603682.SSE,锦和商管,yang2,2024-12-30,2024-12-31,2,True,True,False,++,全多(10>20>30),>5,>5,>5,0.7798594250768316,0.9728711086395772,09:45,早09:30~10:30
603685.SSE,晨丰科技,yin2,2023-05-22,2023-05-23,0,False,False,False,++,全多(10>20>30),>5,>5,>5,1.5524253911225459,0.9969537675008643,,
603685.SSE,晨丰科技,yin2,2023-06-08,2023-06-09,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.494973119253238,1.0177348175470953,,
603686.SSE,福龙马,yin4,2025-10-20,2025-10-21,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.3393795004402926,0.7845546957003118,14:00,午13:00~14:00
603686.SSE,福龙马,yang4,2025-10-28,2025-10-29,0,False,False,False,++,全多(10>20>30),>5,>5,>5,1.5004128139507966,1.1230214668490657,10:30,早09:30~10:30
603686.SSE,福龙马,yin2,2025-11-03,2025-11-04,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.0700681926558502,1.9319094978856384,10:15,早09:30~10:30
603687.SSE,大胜达,yang4,2026-03-25,2026-03-26,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.1565166463791765,1.5481205547465209,10:30,早09:30~10:30
603687.SSE,大胜达,yin4,2026-03-31,2026-04-01,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.7579234211279069,0.7264366930230813,09:45,早09:30~10:30
603687.SSE,大胜达,yin4,2026-04-03,2026-04-07,1,True,False,False,++,全多(10>20>30),0~5,>5,>5,0.7189713111156143,0.8523048134012745,10:00,早09:30~10:30
603687.SSE,大胜达,yang2,2026-04-29,2026-04-30,1,True,False,False,++,全多(10>20>30),-5~0,-5~0,0~5,0.9575386451160985,0.616502660080062,14:30,尾14:00~15:00
603688.SSE,石英股份,yang2,2025-04-08,2025-04-09,3,True,True,True,++,全多(10>20>30),>5,>5,>5,1.3568845254431172,1.3460677760038477,10:00,早09:30~10:30
603690.SSE,至纯科技,yang2,2026-08-11,2026-08-12,1,True,False,False,+-,混合,>5,>5,0~5,0.5315814346547536,0.6944538234178826,10:00,早09:30~10:30
603693.SSE,江苏新能,yin2,2025-03-28,2025-03-31,2,True,True,False,++,全多(10>20>30),>5,>5,>5,0.970474990722259,0.9208870860859161,15:00,尾14:00~15:00
603693.SSE,江苏新能,yin2,2025-04-11,2025-04-14,1,True,False,False,++,全多(10>20>30),0~5,>5,>5,1.0213822505256165,0.6692987470458054,10:30,早09:30~10:30
603696.SSE,安记食品,yang4,2025-04-28,2025-04-29,0,False,False,False,++,全多(10>20>30),>5,>5,>5,1.336488231935921,1.2345721339737732,09:45,早09:30~10:30
603696.SSE,安记食品,yang4,2026-01-07,2026-01-08,1,True,False,False,++,全多(10>20>30),0~5,0~5,>5,1.2666335470937888,0.8938649953247382,14:00,午13:00~14:00
603697.SSE,有友食品,yang2,2024-11-06,2024-11-07,0,False,False,False,++,全多(10>20>30),>5,>5,>5,1.056588876518145,0.488164851592775,14:00,午13:00~14:00
603697.SSE,有友食品,yang2,2024-11-14,2024-11-15,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.4438213627992633,0.4279241436476466,13:15,午13:00~14:00
603698.SSE,航天工程,yang2,2026-04-16,2026-04-17,0,False,False,False,+-,混合,>5,>5,>5,1.8390559108057785,2.508236934017767,13:30,午13:00~14:00
603698.SSE,航天工程,yang2,2026-04-29,2026-04-30,1,True,False,False,++,全多(10>20>30),0~5,>5,>5,1.3546115171224615,0.5463444064064573,10:00,早09:30~10:30
603703.SSE,盛洋科技,yang2,2025-12-24,2025-12-25,0,False,False,False,++,全多(10>20>30),0~5,>5,>5,1.2553722737559259,0.8196630869729377,11:00,中10:30~11:30
603703.SSE,盛洋科技,yang2,2026-01-07,2026-01-08,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.3946964278256475,0.8837637780873944,09:45,早09:30~10:30
603703.SSE,盛洋科技,yin2,2026-01-09,2026-01-12,1,True,False,False,++,全多(10>20>30),>5,>5,>5,2.147472670662015,3.537934637754879,09:45,早09:30~10:30
603713.SSE,密尔克卫,yin2,2026-07-02,2026-07-03,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.4983793774050729,0.6558474713950844,09:45,早09:30~10:30
