组,月,笔数,坏票率,封住率,次日收,持有到断板
5+板反包,2025-08,17,18%,76%,4.08,6.13
5+板反包,2025-09,9,67%,56%,-2.54,-2.18
5+板反包,2025-10,5,60%,80%,1.5,-0.15
5+板反包,2025-11,19,74%,42%,-5.12,-3.75
5+板反包,2025-12,17,53%,71%,-0.94,-0.98
5+板反包,2026-01,8,50%,88%,-0.33,0.62
5+板反包,2026-02,5,40%,100%,2.0,2.92
5+板反包,2026-03,7,57%,57%,-4.31,-2.68
5+板反包,2026-04,8,62%,62%,-2.27,-1.23
5+板反包,2026-05,8,75%,88%,-2.37,-1.98
5+板反包,2026-06,11,64%,55%,-2.01,-3.23
5+板反包,2026-07,9,67%,78%,-0.16,-1.85
5+板反包,2026-08,8,50%,100%,-0.18,0.58
5+板反包,2026-09,2,0%,100%,2.5,2.5
5+板反包阳,2023-04,1,100%,100%,-9.05,-9.05
5+板反包阳,2023-05,1,100%,100%,-9.26,-9.26
5+板反包阳,2023-07,1,0%,100%,8.3,8.3
5+板反包阳,2023-09,1,0%,100%,10.0,5.0
5+板反包阳,2023-10,2,100%,50%,-7.3,-2.5
5+板反包阳,2023-11,4,50%,50%,-2.33,-3.61
5+板反包阳,2023-12,2,50%,50%,-1.19,-2.46
5+板反包阳,2024-01,2,0%,50%,5.22,0.33
5+板反包阳,2024-02,2,100%,100%,-8.88,-8.88
5+板反包阳,2024-03,1,100%,0%,-6.03,-3.49
5+板反包阳,2024-07,1,100%,100%,-10.01,-10.01
5+板反包阳,2024-08,1,0%,100%,10.0,44.96
5+板反包阳,2024-10,7,29%,71%,2.36,8.57
5+板反包阳,2024-11,2,50%,100%,0.01,4.94
5+板反包阳,2024-12,2,0%,100%,9.99,9.4
5+板反包阳,2025-01,2,50%,100%,-0.01,-5.0
5+板反包阳,2025-02,5,80%,100%,-2.3,-2.3
5+板反包阳,2025-03,1,100%,0%,-7.07,-7.61
5+板反包阳,2025-04,3,33%,67%,-3.88,-4.63
5+板反包阳,2025-05,5,40%,80%,3.98,0.67
5+板反包阳,2025-06,1,0%,100%,2.37,2.37
5+板反包阳,2025-07,1,0%,100%,3.95,3.95
5+板反包阳,2025-08,3,100%,67%,-9.41,-8.99
5+板反包阳,2025-09,1,0%,100%,9.98,31.76
5+板反包阳,2025-10,1,0%,100%,10.03,19.92
5+板反包阳,2025-11,4,50%,100%,-0.81,4.27
5+板反包阳,2026-01,4,50%,75%,0.1,2.99
5+板反包阳,2026-03,1,100%,0%,-8.3,-14.6
5+板反包阳,2026-04,1,100%,0%,-0.09,-0.36
5+板反包阳,2026-05,1,100%,100%,-1.25,-1.25
5+板反包阳,2026-06,4,75%,25%,-5.55,-0.95
5+板反包阳,2026-07,2,50%,100%,0.0,-0.54
5+板反包阳,2026-08,2,50%,100%,3.82,8.34
5+板反包阳,2026-09,4,25%,100%,4.98,5.73
5+板反包阴,2023-05,1,100%,100%,-10.0,-10.0
5+板反包阴,2023-06,2,50%,50%,-6.06,-1.22
5+板反包阴,2023-08,1,100%,100%,-3.29,-3.29
5+板反包阴,2023-09,2,50%,100%,0.0,2.04
5+板反包阴,2023-10,2,100%,50%,-9.24,-8.16
5+板反包阴,2023-11,3,33%,67%,2.02,-4.86
5+板反包阴,2023-12,5,60%,80%,0.25,3.78
5+板反包阴,2024-01,2,50%,100%,2.3,4.22
5+板反包阴,2024-02,3,33%,33%,1.6,-4.65
5+板反包阴,2024-03,5,40%,100%,-0.67,-0.67
5+板反包阴,2024-04,3,67%,67%,-7.74,-8.69
5+板反包阴,2024-05,1,0%,0%,9.45,-0.45
5+板反包阴,2024-07,1,0%,0%,8.06,-1.74
5+板反包阴,2024-09,1,0%,100%,10.04,13.64
5+板反包阴,2024-10,6,33%,67%,3.6,16.13
5+板反包阴,2024-11,10,50%,90%,1.07,6.67
5+板反包阴,2024-12,9,33%,67%,0.64,-2.29
5+板反包阴,2025-01,4,50%,75%,3.18,-0.93
5+板反包阴,2025-02,5,60%,60%,-0.06,-3.94
5+板反包阴,2025-03,5,40%,100%,1.77,-1.07
5+板反包阴,2025-04,9,78%,67%,-4.86,-0.77
5+板反包阴,2025-05,4,50%,50%,0.46,-0.6
5+板反包阴,2025-06,4,75%,25%,-1.69,-0.64
5+板反包阴,2025-07,4,50%,100%,-1.23,0.47
5+板反包阴,2025-09,4,100%,75%,-5.95,-4.2
5+板反包阴,2025-10,1,100%,100%,-8.21,-8.21
5+板反包阴,2025-11,6,33%,50%,3.49,2.82
5+板反包阴,2025-12,4,25%,100%,4.9,4.9
5+板反包阴,2026-01,2,100%,50%,-7.84,-6.77
5+板反包阴,2026-02,1,100%,100%,-1.94,-1.94
5+板反包阴,2026-03,2,50%,50%,-0.21,-0.83
5+板反包阴,2026-04,3,67%,33%,-2.27,11.31
5+板反包阴,2026-05,2,0%,50%,3.4,-1.47
5+板反包阴,2026-06,1,100%,0%,-13.9,-4.39
5+板反包阴,2026-07,2,0%,100%,2.58,2.58
5+板反包阴,2026-08,2,50%,100%,1.6,1.6
5+板反包阴,2026-09,2,0%,50%,5.6,3.5
