代码,名称,买入日,四组,方案点,阴阳,地基涨跌%,地基档,距MA5%,距MA10%,距MA20%,距MA30%,站上均线数,MA10位置,MA10斜率%,MA20斜率%,反包结构,断板天数,前板高度,反包收复%,断板回撤%,前板日,链,买入开盘%,次日收%,持有到断板%,月,年
002104.SZSE,恒宝股份,2025-08-14,二接三阳,—,阳,4.42,大阳3~5,3.4,2.9,-2.5,-2.8,2,上,-3.7,-3.07,断16~60天,21.0,1.0,-7.0,-23.2,07-11,下影-1→下影+3,3.71,7.36,7.36,2025-08,2025
002104.SZSE,恒宝股份,2025-08-15,三接四阳,—,阳,4.42,大阳3~5,3.4,2.9,-2.5,-2.8,2,上,-3.7,-3.07,断16~60天,21.0,1.0,-7.0,-23.2,07-11,下影-1→下影+3→下影+4,5.55,2.62,2.62,2025-08,2025
002105.SZSE,信隆健康,2025-03-06,二接三阴,—,阴,-1.86,小阴-3~0,-2.4,-1.7,-0.8,1.1,1,下,0.39,1.71,断16~60天,48.0,1.0,-11.6,-33.1,12-16,下影+1→下影-3,5.96,9.97,66.52,2025-03,2025
002105.SZSE,信隆健康,2025-03-07,三接四阴,—,阴,-1.86,小阴-3~0,-2.4,-1.7,-0.8,1.1,1,下,0.39,1.71,断16~60天,48.0,1.0,-11.6,-33.1,12-16,下影+1→下影-3→实体+6,3.7,9.97,51.42,2025-03,2025
002105.SZSE,信隆健康,2025-05-20,二接三阴,—,阴,-2.55,小阴-3~0,-1.1,-0.7,1.5,1.0,2,下,2.88,1.8,断16~60天,40.0,9.0,-32.5,-49.9,03-14,下影-0→下影+1,2.71,-9.95,-9.95,2025-05,2025
002105.SZSE,信隆健康,2025-12-11,二接三阳,—,阳,1.84,小阳0~3,4.0,5.9,6.5,7.4,4,上,2.1,0.96,60日内无板,,,,,,下影+2→下影+10,10.04,-25.24,-25.24,2025-12,2025
002108.SZSE,沧州明珠,2025-06-27,二接三阳,—,阳,3.66,大阳3~5,3.5,2.9,0.1,-3.2,3,上,-1.73,-3.23,60日内无板,,,,,,下影+2→一字+10,9.98,-14.6,-14.6,2025-06,2025
002112.SZSE,三变科技,2025-02-18,二接三阳,—,阳,4.11,大阳3~5,4.4,7.7,12.5,15.2,4,上,5.64,2.13,断4~7天,7.0,1.0,13.7,-15.7,01-27,下影-0→下影+5,10.01,-5.98,-5.98,2025-02,2025
002112.SZSE,三变科技,2026-01-15,二接三阴,—,阴,1.53,小阳0~3,3.8,10.3,13.9,16.2,4,上,6.15,3.99,断2~3天,3.0,1.0,12.2,-2.2,01-07,下影+0→一字+10,4.63,-5.58,-5.58,2026-01,2026
002112.SZSE,三变科技,2026-01-16,三接四阴,—,阴,1.53,小阳0~3,3.8,10.3,13.9,16.2,4,上,6.15,3.99,断2~3天,3.0,1.0,12.2,-2.2,01-07,下影+0→一字+10→下影+5,10.02,-5.59,-1.59,2026-01,2026
002114.SZSE,罗平锌电,2024-12-06,二接三阴,—,阴,0.16,小阳0~3,2.5,4.0,5.1,6.8,4,上,1.9,1.77,60日内无板,,,,,,一字+10→下影+4,0.0,-3.27,0.35,2024-12,2024
002115.SZSE,三维通信,2023-10-25,二接三阴,—,阴,-3.48,大阴-5~-3,-0.9,0.0,2.6,1.9,3,上,3.31,0.2,60日内无板,,,,,,下影-1→下影+7,7.95,-3.39,-3.39,2023-10,2023
002115.SZSE,三维通信,2023-10-26,三接四阴,—,阴,-3.48,大阴-5~-3,-0.9,0.0,2.6,1.9,3,上,3.31,0.2,60日内无板,,,,,,下影-1→下影+7→下影+8,8.01,-10.77,-10.77,2023-10,2023
002115.SZSE,三维通信,2024-12-13,三接四阳,—,阳,3.35,大阳3~5,5.0,7.5,13.8,20.1,4,上,7.72,5.81,断2~3天,2.0,1.0,12.1,-2.5,12-05,下影+1→一字+10→一字+10,6.6,0.55,0.55,2024-12,2024
002115.SZSE,三维通信,2025-09-01,二接三阴,—,阴,-4.21,大阴-5~-3,-1.6,-0.2,0.5,1.1,2,下,0.93,0.99,断16~60天,52.0,1.0,5.8,-9.3,06-16,实体+4→下影+6,3.06,-4.51,-4.51,2025-09,2025
002117.SZSE,东港股份,2024-11-26,二接三阳,—,阳,2.26,小阳0~3,3.4,1.1,3.9,8.2,4,上,0.7,2.8,60日内无板,,,,,,一字+10→一字+10,10.02,-19.09,-19.09,2024-11,2024
002119.SZSE,康强电子,2026-01-19,二接三阴,—,阴,0.0,小阳0~3,-1.1,2.8,6.4,7.7,3,上,4.72,2.88,断16~60天,46.0,1.0,-5.8,-27.1,11-07,实体-1→下影+6,5.4,-0.54,-0.54,2026-01,2026
002119.SZSE,康强电子,2026-06-12,二接三阳,—,阳,6.57,巨阳≥5,4.4,6.9,7.6,11.1,4,上,1.09,2.31,断16~60天,42.0,1.0,34.3,-4.0,04-07,下影+1→实体+2,9.94,-1.63,-1.63,2026-06,2026
002123.SZSE,梦网科技,2024-10-09,二接三阳,—,阳,5.5,巨阳≥5,4.5,7.4,16.3,21.1,4,上,9.16,6.84,断8~15天,9.0,1.0,24.5,-3.7,09-12,下影+10→一字+10,10.02,-8.13,-8.13,2024-10,2024
002123.SZSE,梦网科技,2025-02-07,二接三阴,—,阴,-3.7,大阴-5~-3,-3.1,-4.9,-5.6,-4.9,0,下,-1.87,-0.83,断4~7天,7.0,1.0,-1.3,-10.5,01-16,下影+9→下影+5,-0.78,10.01,44.96,2025-02,2025
002123.SZSE,梦网科技,2025-02-10,三接四阴,—,阴,-3.7,大阴-5~-3,-3.1,-4.9,-5.6,-4.9,0,下,-1.87,-0.83,断4~7天,7.0,1.0,-1.3,-10.5,01-16,下影+9→下影+5→下影-1,7.12,9.99,31.77,2025-02,2025
002124.SZSE,天邦食品,2026-04-15,二接三阳,—,阳,0.43,小阳0~3,-0.1,-0.8,-2.8,-3.8,0,下,-0.25,-1.91,60日内无板,,,,,,下影-0→下影+1,4.91,-6.69,-6.69,2026-04,2026
002125.SZSE,湘潭电化,2025-06-23,二接三阳,—,阳,-0.2,小阴-3~0,-0.7,0.4,1.5,1.1,3,上,2.01,0.33,60日内无板,,,,,,实体+4→一字+10,9.76,9.99,17.6,2025-06,2025
002125.SZSE,湘潭电化,2025-06-24,三接四阳,A1,阳,-0.2,小阴-3~0,-0.7,0.4,1.5,1.1,3,上,2.01,0.33,60日内无板,,,,,,实体+4→一字+10→下影+10,9.91,10.02,6.93,2025-06,2025
